Eng,Kor
Solar Corona,/resources/목표 카드/목표 (항해)/태양 코로나.webp
Superior Positions,/resources/목표 카드/목표 (항해)/지리적 우위.webp
Volatile Deposits,/resources/목표 카드/목표 (항해)/불안정한 광산.webp
위험 지역,/resources/목표 카드/목표 (항해)/위험 지역.webp
저주받은 우주 정거장,/resources/목표 카드/목표 (항해)/저주받은 우주 정거장.webp
초공간 이주,/resources/목표 카드/목표 (항해)/초공간 이주.webp
들끓는 우주,/resources/목표 카드/목표 (항해)/들끓는 우주.webp
정보 수집,/resources/목표 카드/목표 (항해)/정보 수집.webp
기뢰 부설 지역,/resources/목표 카드/목표 (항해)/기뢰 부설 지역.webp
항행 위협,/resources/목표 카드/목표 (항해)/항행 위협.webp
구호품 보급,/resources/목표 카드/목표 (항해)/구호품 보급.webp
센서 망,/resources/목표 카드/목표 (항해)/센서 망.webp
태양 코로나,/resources/목표 카드/목표 (항해)/태양 코로나.webp
지리적 우위,/resources/목표 카드/목표 (항해)/지리적 우위.webp
불안정한 광산,/resources/목표 카드/목표 (항해)/불안정한 광산.webp
,
,
,
Ship (Imperial),함선 (제국)
Arquitens Command Cruiser (Imperial),/resources/함선 카드/함선 (제국)/아퀴텐즈 급 사령 순양함.webp
Arquitens Light Cruiser (Imperial),/resources/함선 카드/함선 (제국)/아퀴텐즈 급 경 순양함.webp
Gladiator I (Imperial),/resources/함선 카드/함선 (제국)/글래디에이터 1급 은하 구축함.webp
Gladiator II (Imperial),/resources/함선 카드/함선 (제국)/글래디에이터 2급 은하 구축함.webp
Gozanti Assault Carriers (Imperial),/resources/함선 카드/함선 (제국)/고잔티 급 강습 수송함.webp
Gozanti Cruisers (Imperial),/resources/함선 카드/함선 (제국)/고잔티 급 순양함.webp
Imperial I (Imperial),/resources/함선 카드/함선 (제국)/임페리얼 1급 은하 구축함.webp
Imperial II (Imperial),/resources/함선 카드/함선 (제국)/임페리얼 2급 은하 구축함.webp
ISD Cymoon 1 Refit (Imperial),/resources/함선 카드/함선 (제국)/임페리얼 은하 구축함 사이문 1 개수형.webp
ISD Kuat Refit (Imperial),/resources/함선 카드/함선 (제국)/임페리얼 은하 구축함 쿠앗 개수형.webp
Interdictor Combat Refit (Imperial),/resources/함선 카드/함선 (제국)/인터딕터 전투형 개수함.webp
Interdictor Suppression Refit (Imperial),/resources/함선 카드/함선 (제국)/인터딕터 진압형 개수함.webp
Onager Star Destroyer (Imperial),/resources/함선 카드/함선 (제국)/오나거 급 은하 구축함.webp
Onager Testbed (Imperial),/resources/함선 카드/함선 (제국)/오나거 급 실험함.webp
Quasar Fire I (Imperial),/resources/함선 카드/함선 (제국)/퀘이사 파이어 1급 순양 모함.webp
Quasar Fire II (Imperial),/resources/함선 카드/함선 (제국)/퀘이사 파이어 2급 순양 모함.webp
Raider I (Imperial),/resources/함선 카드/함선 (제국)/레이더 1급 초계함.webp
Raider II (Imperial),/resources/함선 카드/함선 (제국)/레이더 2급 초계함.webp
Venator II (Imperial),/resources/함선 카드/함선 (제국)/베나터 2급 은하 구축함.webp
Victory I (Imperial),/resources/함선 카드/함선 (제국)/빅토리 1급 은하 구축함.webp
Victory II (Imperial),/resources/함선 카드/함선 (제국)/빅토리 2급 은하 구축함.webp
SSD Command Prototype (Imperial),/resources/함선 카드/함선 (제국)/은하 드레드노트 사령 시제함.webp
SSD Assault Prototype (Imperial),/resources/함선 카드/함선 (제국)/은하 드레드노트 강습 시제함.webp
SSD Executor I (Imperial),/resources/함선 카드/함선 (제국)/이제큐터 1급 은하 드레드노트.webp
SSD Executor II (Imperial),/resources/함선 카드/함선 (제국)/이제큐터 2급 은하 드레드노트.webp
Arquitens-class Command Cruiser (Imperial),/resources/함선 카드/함선 (제국)/아퀴텐즈 급 사령 순양함.webp
Arquitens-class Light Cruiser (Imperial),/resources/함선 카드/함선 (제국)/아퀴텐즈 급 경 순양함.webp
Gladiator I-class Star Destroyer (Imperial),/resources/함선 카드/함선 (제국)/글래디에이터 1급 은하 구축함.webp
Gladiator II-class Star Destroyer (Imperial),/resources/함선 카드/함선 (제국)/글래디에이터 2급 은하 구축함.webp
Gozanti-class Assault Carriers (Imperial),/resources/함선 카드/함선 (제국)/고잔티 급 강습 수송함.webp
Gozanti-class Cruisers (Imperial),/resources/함선 카드/함선 (제국)/고잔티 급 순양함.webp
Imperial I-class Star Destroyer (Imperial),/resources/함선 카드/함선 (제국)/임페리얼 1급 은하 구축함.webp
Imperial II-class Star Destroyer (Imperial),/resources/함선 카드/함선 (제국)/임페리얼 2급 은하 구축함.webp
Imperial Star Destroyer Cymoon 1 Refit (Imperial),/resources/함선 카드/함선 (제국)/임페리얼 은하 구축함 사이문 1 개수형.webp
Imperial Star Destroyer Kuat Refit (Imperial),/resources/함선 카드/함선 (제국)/임페리얼 은하 구축함 쿠앗 개수형.webp
Interdictor Combat Refit (Imperial),/resources/함선 카드/함선 (제국)/인터딕터 전투형 개수함.webp
Interdictor Suppression Refit (Imperial),/resources/함선 카드/함선 (제국)/인터딕터 진압형 개수함.webp
Onager-class Star Destroyer (Imperial),/resources/함선 카드/함선 (제국)/오나거 급 은하 구축함.webp
Onager-class Testbed (Imperial),/resources/함선 카드/함선 (제국)/오나거 급 실험함.webp
Quasar Fire I-class Cruiser-Carrier (Imperial),/resources/함선 카드/함선 (제국)/퀘이사 파이어 1급 순양 모함.webp
Quasar Fire II-class Cruiser-Carrier (Imperial),/resources/함선 카드/함선 (제국)/퀘이사 파이어 2급 순양 모함.webp
Raider I-class Corvette (Imperial),/resources/함선 카드/함선 (제국)/레이더 1급 초계함.webp
Raider II-class Corvette (Imperial),/resources/함선 카드/함선 (제국)/레이더 2급 초계함.webp
Victory I-class Star Destroyer (Imperial),/resources/함선 카드/함선 (제국)/베나터 2급 은하 구축함.webp
Victory II-class Star Destroyer (Imperial),/resources/함선 카드/함선 (제국)/빅토리 1급 은하 구축함.webp
Venator II-class Star Destroyer {IMP} (Imperial),/resources/함선 카드/함선 (제국)/빅토리 2급 은하 구축함.webp
Star Dreadnought Command Prototype (Imperial),/resources/함선 카드/함선 (제국)/은하 드레드노트 사령 시제함.webp
Star Dreadnought Assault Prototype (Imperial),/resources/함선 카드/함선 (제국)/은하 드레드노트 강습 시제함.webp
Executor I-class Star Dreadnought (Imperial),/resources/함선 카드/함선 (제국)/이제큐터 1급 은하 드레드노트.webp
Executor II-class Star Dreadnought (Imperial),/resources/함선 카드/함선 (제국)/이제큐터 2급 은하 드레드노트.webp
아퀴텐즈 급 사령 순양함 (Imperial),/resources/함선 카드/함선 (제국)/아퀴텐즈 급 사령 순양함.webp
아퀴텐즈 급 경 순양함 (Imperial),/resources/함선 카드/함선 (제국)/아퀴텐즈 급 경 순양함.webp
글래디에이터 1급 은하 구축함 (Imperial),/resources/함선 카드/함선 (제국)/글래디에이터 1급 은하 구축함.webp
글래디에이터 2급 은하 구축함 (Imperial),/resources/함선 카드/함선 (제국)/글래디에이터 2급 은하 구축함.webp
고잔티 급 강습 수송함 (Imperial),/resources/함선 카드/함선 (제국)/고잔티 급 강습 수송함.webp
고잔티 급 순양함 (Imperial),/resources/함선 카드/함선 (제국)/고잔티 급 순양함.webp
임페리얼 1급 은하 구축함 (Imperial),/resources/함선 카드/함선 (제국)/임페리얼 1급 은하 구축함.webp
임페리얼 2급 은하 구축함 (Imperial),/resources/함선 카드/함선 (제국)/임페리얼 2급 은하 구축함.webp
임페리얼 은하 구축함 사이문 1 개수형 (Imperial),/resources/함선 카드/함선 (제국)/임페리얼 은하 구축함 사이문 1 개수형.webp
임페리얼 은하 구축함 쿠앗 개수형 (Imperial),/resources/함선 카드/함선 (제국)/임페리얼 은하 구축함 쿠앗 개수형.webp
인터딕터 전투형 개수함 (Imperial),/resources/함선 카드/함선 (제국)/인터딕터 전투형 개수함.webp
인터딕터 진압형 개수함 (Imperial),/resources/함선 카드/함선 (제국)/인터딕터 진압형 개수함.webp
오나거 급 은하 구축함 (Imperial),/resources/함선 카드/함선 (제국)/오나거 급 은하 구축함.webp
오나거 급 실험함 (Imperial),/resources/함선 카드/함선 (제국)/오나거 급 실험함.webp
퀘이사 파이어 1급 순양 모함 (Imperial),/resources/함선 카드/함선 (제국)/퀘이사 파이어 1급 순양 모함.webp
퀘이사 파이어 2급 순양 모함 (Imperial),/resources/함선 카드/함선 (제국)/퀘이사 파이어 2급 순양 모함.webp
레이더 1급 초계함 (Imperial),/resources/함선 카드/함선 (제국)/레이더 1급 초계함.webp
레이더 2급 초계함 (Imperial),/resources/함선 카드/함선 (제국)/레이더 2급 초계함.webp
베나터 2급 은하 구축함 (Imperial),/resources/함선 카드/함선 (제국)/베나터 2급 은하 구축함.webp
빅토리 1급 은하 구축함 (Imperial),/resources/함선 카드/함선 (제국)/빅토리 1급 은하 구축함.webp
빅토리 2급 은하 구축함 (Imperial),/resources/함선 카드/함선 (제국)/빅토리 2급 은하 구축함.webp
은하 드레드노트 사령 시제함 (Imperial),/resources/함선 카드/함선 (제국)/은하 드레드노트 사령 시제함.webp
은하 드레드노트 강습 시제함 (Imperial),/resources/함선 카드/함선 (제국)/은하 드레드노트 강습 시제함.webp
이제큐터 1급 은하 드레드노트 (Imperial),/resources/함선 카드/함선 (제국)/이제큐터 1급 은하 드레드노트.webp
이제큐터 2급 은하 드레드노트 (Imperial),/resources/함선 카드/함선 (제국)/이제큐터 2급 은하 드레드노트.webp
,
Ship (Rebel),함선 (반군)
Assault Frigate Mk2 A (Rebel),/resources/함선 카드/함선 (반군)/마크 2 어썰트 프리깃 A.webp
Assault Frigate Mk2 B (Rebel),/resources/함선 카드/함선 (반군)/마크 2 어썰트 프리깃 B.webp
CR90 Corvette A (Rebel),/resources/함선 카드/함선 (반군)/CR90 초계함 A.webp
CR90 Corvette B (Rebel),/resources/함선 카드/함선 (반군)/CR90 초계함 B.webp
GR-75 Combat Retrofits (Rebel),/resources/함선 카드/함선 (반군)/GR-75 전투 개량함.webp
GR-75 Medium Transports (Rebel),/resources/함선 카드/함선 (반군)/GR-75 중형 수송선.webp
Hammerhead Scout Corvette (Rebel),/resources/함선 카드/함선 (반군)/해머헤드 정찰 초계함.webp
Hammerhead Torpedo Corvette (Rebel),/resources/함선 카드/함선 (반군)/해머헤드 어뢰 초계함.webp
MC30c Scout Frigate (Rebel),/resources/함선 카드/함선 (반군)/MC30c 정찰 프리깃.webp
MC30c Torpedo Frigate (Rebel),/resources/함선 카드/함선 (반군)/MC30c 어뢰 프리깃.webp
MC75 Armored Cruiser (Rebel),/resources/함선 카드/함선 (반군)/MC75 장갑 순양함.webp
MC75 Ordnance Cruiser (Rebel),/resources/함선 카드/함선 (반군)/MC75 폭격 순양함.webp
MC80 Assault Cruiser (Rebel),/resources/함선 카드/함선 (반군)/MC80 강습 순양함.webp
MC80 Command Cruiser (Rebel),/resources/함선 카드/함선 (반군)/MC80 사령 순양함.webp
MC80 Battle Cruiser (Rebel),/resources/함선 카드/함선 (반군)/MC80 전투 순양함.webp
MC80 Star Cruiser (Rebel),/resources/함선 카드/함선 (반군)/MC80 은하 순양함.webp
Nebulon-B Escort Frigate (Rebel),/resources/함선 카드/함선 (반군)/네뷸론-B 호위 프리깃.webp
Nebulon-B Support Refit (Rebel),/resources/함선 카드/함선 (반군)/네뷸론-B 지원형 개수함.webp
Pelta Assault Ship (Rebel),/resources/함선 카드/함선 (반군)/개조형 펠타 급 강습함.webp
Pelta Command Ship (Rebel),/resources/함선 카드/함선 (반군)/개조형 펠타 급 사령함.webp
Starhawk Battleship Mark I (Rebel),/resources/함선 카드/함선 (반군)/마크 1 스타호크 급 전함.webp
Starhawk Battleship Mark II (Rebel),/resources/함선 카드/함선 (반군)/마크 2 스타호크 급 전함.webp
Providence Carrier (Rebel),/resources/함선 카드/함선 (반군)/프로비던스 급 모함.webp
Assault Frigate Mark II A (Rebel),/resources/함선 카드/함선 (반군)/마크 2 어썰트 프리깃 A.webp
Assault Frigate Mark II B (Rebel),/resources/함선 카드/함선 (반군)/마크 2 어썰트 프리깃 B.webp
Modified Pelta-class Assault Ship (Rebel),/resources/함선 카드/함선 (반군)/개조형 펠타 급 강습함.webp
Modified Pelta-class Command Ship (Rebel),/resources/함선 카드/함선 (반군)/개조형 펠타 급 사령함.webp
Starhawk-class Battleship Mark I (Rebel),/resources/함선 카드/함선 (반군)/마크 1 스타호크 급 전함.webp
Starhawk-class Battleship Mark II (Rebel),/resources/함선 카드/함선 (반군)/마크 2 스타호크 급 전함.webp
Providence-class Carrier (Rebel),/resources/함선 카드/함선 (반군)/프로비던스 급 모함.webp
마크 2 어썰트 프리깃 A (Rebel),/resources/함선 카드/함선 (반군)/마크 2 어썰트 프리깃 A.webp
마크 2 어썰트 프리깃 B (Rebel),/resources/함선 카드/함선 (반군)/마크 2 어썰트 프리깃 B.webp
CR90 초계함 A (Rebel),/resources/함선 카드/함선 (반군)/CR90 초계함 A.webp
CR90 초계함 B (Rebel),/resources/함선 카드/함선 (반군)/CR90 초계함 B.webp
GR-75 전투 개량함 (Rebel),/resources/함선 카드/함선 (반군)/GR-75 전투 개량함.webp
GR-75 중형 수송선 (Rebel),/resources/함선 카드/함선 (반군)/GR-75 중형 수송선.webp
해머헤드 정찰 초계함 (Rebel),/resources/함선 카드/함선 (반군)/해머헤드 정찰 초계함.webp
해머헤드 어뢰 초계함 (Rebel),/resources/함선 카드/함선 (반군)/해머헤드 어뢰 초계함.webp
MC30c 정찰 프리깃 (Rebel),/resources/함선 카드/함선 (반군)/MC30c 정찰 프리깃.webp
MC30c 어뢰 프리깃 (Rebel),/resources/함선 카드/함선 (반군)/MC30c 어뢰 프리깃.webp
MC75 장갑 순양함 (Rebel),/resources/함선 카드/함선 (반군)/MC75 장갑 순양함.webp
MC75 폭격 순양함 (Rebel),/resources/함선 카드/함선 (반군)/MC75 폭격 순양함.webp
MC80 강습 순양함 (Rebel),/resources/함선 카드/함선 (반군)/MC80 강습 순양함.webp
MC80 사령 순양함 (Rebel),/resources/함선 카드/함선 (반군)/MC80 사령 순양함.webp
MC80 전투 순양함 (Rebel),/resources/함선 카드/함선 (반군)/MC80 전투 순양함.webp
MC80 은하 순양함 (Rebel),/resources/함선 카드/함선 (반군)/MC80 은하 순양함.webp
네뷸론-B 호위 프리깃 (Rebel),/resources/함선 카드/함선 (반군)/네뷸론-B 호위 프리깃.webp
네뷸론-B 지원형 개수함 (Rebel),/resources/함선 카드/함선 (반군)/네뷸론-B 지원형 개수함.webp
개조형 펠타 급 강습함 (Rebel),/resources/함선 카드/함선 (반군)/개조형 펠타 급 강습함.webp
개조형 펠타 급 사령함 (Rebel),/resources/함선 카드/함선 (반군)/개조형 펠타 급 사령함.webp
마크 1 스타호크 급 전함 (Rebel),/resources/함선 카드/함선 (반군)/마크 1 스타호크 급 전함.webp
마크 2 스타호크 급 전함 (Rebel),/resources/함선 카드/함선 (반군)/마크 2 스타호크 급 전함.webp
프로비던스 급 모함 (Rebel),/resources/함선 카드/함선 (반군)/프로비던스 급 모함.webp
,
Ship (Republic),함선 (공화국)
Acclamator I (Republic),/resources/함선 카드/함선 (공화국)/어클레메이터 1급 강습함.webp
Acclamator II (Republic),/resources/함선 카드/함선 (공화국)/어클레메이터 2급 강습함.webp
Consular Armed Cruiser (Republic),/resources/함선 카드/함선 (공화국)/컨슐러 무장 순양함.webp
Consular Charger C70 (Republic),/resources/함선 카드/함선 (공화국)/컨슐러 급 챠저 c70.webp
Pelta Medical Frigate (Republic),/resources/함선 카드/함선 (공화국)/펠타 급 의료 프리깃.webp
Pelta Transport Frigate (Republic),/resources/함선 카드/함선 (공화국)/펠타 급 수송 프리깃.webp
Venator I (Republic),/resources/함선 카드/함선 (공화국)/베나터 1급 은하 구축함.webp
Venator II (Republic),/resources/함선 카드/함선 (공화국)/베나터 2급 은하 구축함.webp
Victory I (Republic),/resources/함선 카드/함선 (공화국)/빅토리 1급 은하 구축함.webp
Acclamator I-class Assault Ship (Republic),/resources/함선 카드/함선 (공화국)/어클레메이터 1급 강습함.webp
Acclamator II-class Assault Ship (Republic),/resources/함선 카드/함선 (공화국)/어클레메이터 2급 강습함.webp
Consular-class Armed Cruiser (Republic),/resources/함선 카드/함선 (공화국)/컨슐러 무장 순양함.webp
Consular-class Charger c70 (Republic),/resources/함선 카드/함선 (공화국)/컨슐러 급 챠저 c70.webp
Pelta-class Medical Frigate (Republic),/resources/함선 카드/함선 (공화국)/펠타 급 의료 프리깃.webp
Pelta-class Transport Frigate (Republic),/resources/함선 카드/함선 (공화국)/펠타 급 수송 프리깃.webp
Venator I-class Star Destroyer (Republic),/resources/함선 카드/함선 (공화국)/베나터 1급 은하 구축함.webp
Venator II-class Star Destroyer (Republic),/resources/함선 카드/함선 (공화국)/베나터 2급 은하 구축함.webp
Victory I-class Star Destroyer {GAR} (Republic),/resources/함선 카드/함선 (공화국)/빅토리 1급 은하 구축함.webp
어클레메이터 1급 강습함 (Republic),/resources/함선 카드/함선 (공화국)/어클레메이터 1급 강습함.webp
어클레메이터 2급 강습함 (Republic),/resources/함선 카드/함선 (공화국)/어클레메이터 2급 강습함.webp
컨슐러 무장 순양함 (Republic),/resources/함선 카드/함선 (공화국)/컨슐러 무장 순양함.webp
컨슐러 급 챠저 c70 (Republic),/resources/함선 카드/함선 (공화국)/컨슐러 급 챠저 c70.webp
펠타 급 의료 프리깃 (Republic),/resources/함선 카드/함선 (공화국)/펠타 급 의료 프리깃.webp
펠타 급 수송 프리깃 (Republic),/resources/함선 카드/함선 (공화국)/펠타 급 수송 프리깃.webp
베나터 1급 은하 구축함 (Republic),/resources/함선 카드/함선 (공화국)/베나터 1급 은하 구축함.webp
베나터 2급 은하 구축함 (Republic),/resources/함선 카드/함선 (공화국)/베나터 2급 은하 구축함.webp
빅토리 1급 은하 구축함 (Republic),/resources/함선 카드/함선 (공화국)/빅토리 1급 은하 구축함.webp
,
Ship (Separatist),함선 (분리주의)
Gozanti Cruisers (Separatist),/resources/함선 카드/함선 (분리주의)/고잔티 급 순양함.webp
Hardcell Battle Refit (Separatist),/resources/함선 카드/함선 (분리주의)/하드셀 급 전투형 개수함.webp
Hardcell Transport (Separatist),/resources/함선 카드/함선 (분리주의)/하드셀 급 수송선.webp
Munificent Comms Frigate (Separatist),/resources/함선 카드/함선 (분리주의)/뮤니피센트 급 통신 프리깃.webp
Munificent Star Frigate (Separatist),/resources/함선 카드/함선 (분리주의)/뮤니피센트 급 은하 프리깃.webp
Providence Carrier (Separatist),/resources/함선 카드/함선 (분리주의)/프로비던스 급 모함.webp
Providence Dreadnought (Separatist),/resources/함선 카드/함선 (분리주의)/프로비던스 급 드레드노트.webp
Recusant Light Destroyer (Separatist),/resources/함선 카드/함선 (분리주의)/리큐센트 급 경 구축함.webp
Recusant Support Destroyer (Separatist),/resources/함선 카드/함선 (분리주의)/리큐센트 급 지원 구축함.webp
Gozanti-class Cruisers {CIS} (Separatist),/resources/함선 카드/함선 (분리주의)/고잔티 급 순양함.webp
Hardcell-class Battle Refit (Separatist),/resources/함선 카드/함선 (분리주의)/하드셀 급 전투형 개수함.webp
Hardcell-class Transport (Separatist),/resources/함선 카드/함선 (분리주의)/하드셀 급 수송선.webp
Munificent-class Comms Frigate (Separatist),/resources/함선 카드/함선 (분리주의)/뮤니피센트 급 통신 프리깃.webp
Munificent-class Star Frigate (Separatist),/resources/함선 카드/함선 (분리주의)/뮤니피센트 급 은하 프리깃.webp
Providence-class Carrier (Separatist),/resources/함선 카드/함선 (분리주의)/프로비던스 급 모함.webp
Providence-class Dreadnought (Separatist),/resources/함선 카드/함선 (분리주의)/프로비던스 급 드레드노트.webp
Recusant-class Light Destroyer (Separatist),/resources/함선 카드/함선 (분리주의)/리큐센트 급 경 구축함.webp
Recusant-class Support Destroyer (Separatist),/resources/함선 카드/함선 (분리주의)/리큐센트 급 지원 구축함.webp
고잔티 급 순양함 (Separatist),/resources/함선 카드/함선 (분리주의)/고잔티 급 순양함.webp
하드셀 급 전투형 개수함 (Separatist),/resources/함선 카드/함선 (분리주의)/하드셀 급 전투형 개수함.webp
하드셀 급 수송선 (Separatist),/resources/함선 카드/함선 (분리주의)/하드셀 급 수송선.webp
뮤니피센트 급 통신 프리깃 (Separatist),/resources/함선 카드/함선 (분리주의)/뮤니피센트 급 통신 프리깃.webp
뮤니피센트 급 은하 프리깃 (Separatist),/resources/함선 카드/함선 (분리주의)/뮤니피센트 급 은하 프리깃.webp
프로비던스 급 모함 (Separatist),/resources/함선 카드/함선 (분리주의)/프로비던스 급 모함.webp
프로비던스 급 드레드노트 (Separatist),/resources/함선 카드/함선 (분리주의)/프로비던스 급 드레드노트.webp
리큐센트 급 경 구축함 (Separatist),/resources/함선 카드/함선 (분리주의)/리큐센트 급 경 구축함.webp
리큐센트 급 지원 구축함 (Separatist),/resources/함선 카드/함선 (분리주의)/리큐센트 급 지원 구축함.webp
,
,
,
Squadron (Imperial),스쿼드론 (제국)
Aggressor Assault Fighter,/resources/스쿼드론 카드/스쿼드론 (제국)/어그레서 강습 전투기.webp
Firespray-31,/resources/스쿼드론 카드/스쿼드론 (제국)/파이어스프레이-31.webp
JumpMaster 5000,/resources/스쿼드론 카드/스쿼드론 (제국)/점프마스터 5000.webp
Lambda Shuttle,/resources/스쿼드론 카드/스쿼드론 (제국)/람다 급 왕복정.webp
Mandalorian Gauntlet Fighter,/resources/스쿼드론 카드/스쿼드론 (제국)/만달로리안 건틀렛 전투기.webp
TIE Advanced Squadron,/resources/스쿼드론 카드/스쿼드론 (제국)/TIE 어드밴스드 스쿼드론.webp
TIE Bomber Squadron,/resources/스쿼드론 카드/스쿼드론 (제국)/TIE 폭격기 스쿼드론.webp
TIE Defender Squadron,/resources/스쿼드론 카드/스쿼드론 (제국)/TIE 디펜더 스쿼드론.webp
TIE Fighter Squadron,/resources/스쿼드론 카드/스쿼드론 (제국)/TIE 전투기 스쿼드론.webp
TIE Interceptor Squadron,/resources/스쿼드론 카드/스쿼드론 (제국)/TIE 요격기 스쿼드론.webp
TIE Phantom Squadron,/resources/스쿼드론 카드/스쿼드론 (제국)/TIE 팬텀 스쿼드론.webp
VT-49 Decimator,/resources/스쿼드론 카드/스쿼드론 (제국)/VT-49 데시메이터.webp
YV-666,/resources/스쿼드론 카드/스쿼드론 (제국)/YV-666.webp
어그레서 강습 전투기,/resources/스쿼드론 카드/스쿼드론 (제국)/어그레서 강습 전투기.webp
파이어스프레이-31,/resources/스쿼드론 카드/스쿼드론 (제국)/파이어스프레이-31.webp
점프마스터 5000,/resources/스쿼드론 카드/스쿼드론 (제국)/점프마스터 5000.webp
람다 급 왕복정,/resources/스쿼드론 카드/스쿼드론 (제국)/람다 급 왕복정.webp
만달로리안 건틀렛 전투기,/resources/스쿼드론 카드/스쿼드론 (제국)/만달로리안 건틀렛 전투기.webp
TIE 어드밴스드 스쿼드론,/resources/스쿼드론 카드/스쿼드론 (제국)/TIE 어드밴스드 스쿼드론.webp
TIE 폭격기 스쿼드론,/resources/스쿼드론 카드/스쿼드론 (제국)/TIE 폭격기 스쿼드론.webp
TIE 디펜더 스쿼드론,/resources/스쿼드론 카드/스쿼드론 (제국)/TIE 디펜더 스쿼드론.webp
TIE 전투기 스쿼드론,/resources/스쿼드론 카드/스쿼드론 (제국)/TIE 전투기 스쿼드론.webp
